tag,round,model_path,accuracy,f1_score
IID,0,model/global/v1.0.0/IID/global_IID_model_round_0.h5,0.525,0.09523809523809523
IID,1,model/global/v1.0.0/IID/global_IID_model_round_1.h5,0.98,0.98
IID,2,model/global/v1.0.0/IID/global_IID_model_round_2.h5,0.975,0.9748743718592965
IID,3,model/global/v1.0.0/IID/global_IID_model_round_3.h5,0.985,0.9849246231155779
IID,4,model/global/v1.0.0/IID/global_IID_model_round_4.h5,0.99,0.98989898989899
IID,5,model/global/v1.0.0/IID/global_IID_model_round_5.h5,0.99,0.98989898989899
non-IID,0,model/global/v1.0.0/non-IID/global_non-IID_model_round_0.h5,0.5,0.6666666666666666
non-IID,1,model/global/v1.0.0/non-IID/global_non-IID_model_round_1.h5,0.79,0.7341772151898734
non-IID,2,model/global/v1.0.0/non-IID/global_non-IID_model_round_2.h5,0.91,0.9010989010989011
non-IID,3,model/global/v1.0.0/non-IID/global_non-IID_model_round_3.h5,0.965,0.9637305699481865
non-IID,4,model/global/v1.0.0/non-IID/global_non-IID_model_round_4.h5,0.99,0.98989898989899
non-IID,5,model/global/v1.0.0/non-IID/global_non-IID_model_round_5.h5,0.965,0.9637305699481865
